metric,rank,model,name,layer_id,bit,flat,weight_score,metric_delta,metric_value
+diffx,384,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1487,616.0116577148438,54.48577575683594,80.18622388839722
+diffx,388,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3369,1104.448974609375,53.8198224067688,79.52027053833008
+diffx,389,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1518,1346.789306640625,53.7651873588562,79.46563549041748
+diffx,390,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1473,1206.3173828125,53.66927967071533,79.36972780227661
+diffx,403,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3377,688.1807250976562,52.93500533103943,78.63545346260071
+diffx,407,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1509,4850.10986328125,52.81512551307679,78.51557364463807
+diffx,409,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1486,1019.1023559570312,52.74943017959594,78.44987831115722
+diffx,410,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1506,912.0756225585938,52.74331302642822,78.4437611579895
+diffx,418,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1534,2237.466064453125,52.298839998245235,77.99928812980652
+diffx,419,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1498,1087.489990234375,52.276074743270875,77.97652287483216
+diffx,420,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1479,1157.1572265625,52.25500593185425,77.95545406341553
+diffx,422,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1505,1048.54931640625,52.18092775344848,77.88137588500976
+diffx,423,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1478,1298.807373046875,52.1721230506897,77.87257118225098
+diffx,424,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1474,855.7299194335938,52.13076820373535,77.83121633529663
+diffx,425,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1497,1191.3017578125,52.032103109359745,77.73255124092103
+diffx,426,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1484,996.8990478515625,52.02683839797974,77.72728652954102
+diffx,428,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1523,1241.787353515625,51.89853649139405,77.59898462295533
+diffx,429,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1530,1179.7728271484375,51.88882322311401,77.58927135467529
+diffx,431,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1521,1218.6815185546875,51.826639842987056,77.52708797454834
+diffx,433,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3348,666.3212280273438,51.80851597785949,77.50896410942077
+diffx,435,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3358,791.53369140625,51.75646951198578,77.45691764354706
+diffx,436,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1512,1170.0838623046875,51.67718839645385,77.37763652801513
+diffx,437,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1517,786.24267578125,51.62324080467224,77.32368893623352
+diffx,438,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1516,1112.154296875,51.61482934951783,77.31527748107911
+diffx,444,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1511,1283.6617431640625,51.43919334411621,77.1396414756775
+diffx,447,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1508,627.6900634765625,51.26928448677062,76.9697326183319
+diffx,448,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1526,1174.029296875,51.263543844223015,76.9639919757843
+diffx,450,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1501,1615.7623291015625,51.1737521648407,76.87420029640198
+diffx,451,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1499,979.3941650390625,51.13686785697937,76.83731598854065
+diffx,453,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1532,1400.122314453125,51.095989084243776,76.79643721580506
+diffx,463,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1472,1504.73779296875,50.59997038841248,76.30041851997376
+diffx,466,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1500,1062.76123046875,50.42937541007995,76.12982354164123
+diffx,473,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3365,3175.0302734375,49.764219594001766,75.46466772556305
+diffx,476,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2729,805.0751953125,49.46854710578918,75.16899523735046
+diffx,480,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3961,766.9789428710938,49.33805208206177,75.03850021362305
+diffx,486,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,613,1019.0385131835938,49.162792968750004,74.86324110031128
+diffx,489,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3372,732.6138916015625,49.015691900253294,74.71614003181458
+diffx,490,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3904,618.4089965820312,48.97648701667786,74.67693514823914
+diffx,491,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2727,580.016845703125,48.964132285118104,74.66458041667939
+diffx,498,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3375,754.7903442382812,48.47991962432861,74.18036775588989
+diffx,506,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3361,704.5514526367188,47.9907833814621,73.69123151302338
+diffx,508,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2565,743.2750854492188,47.90667724609374,73.60712537765502
+diffx,516,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3357,1006.471923828125,47.34852344989776,73.04897158145904
+diffx,519,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3367,862.9226684570312,47.18755600452423,72.88800413608551
+diffx,521,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3374,894.77197265625,46.98281776905059,72.68326590061187
+diffx,528,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3391,673.828857421875,46.50070166587829,72.20114979743957
+diffx,539,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2688,715.8067626953125,46.12291059494019,71.82335872650147
+diffx,540,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1492,886.7620239257812,46.12125358581543,71.82170171737671
+diffx,547,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2623,1188.5147705078125,45.78018028736114,71.48062841892242
+diffx,550,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3356,739.736572265625,45.42337758541107,71.12382571697235
+diffx,555,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3342,691.4638061523438,45.230196666717525,70.9306447982788
+diffx,561,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2734,617.5809326171875,44.97942998409271,70.67987811565399
+diffx,570,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2713,604.2479858398438,44.53149219751358,70.23194032907486
+diffx,574,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1491,1027.0718994140625,44.363293886184685,70.06374201774597
+diffx,576,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1524,637.3319702148438,44.24793148040771,69.94837961196899
+diffx,585,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3388,930.843505859375,43.91299092769622,69.6134390592575
+diffx,586,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2585,1492.9837646484375,43.844557714462276,69.54500584602356
+diffx,587,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2599,1497.32861328125,43.82395603656769,69.52440416812897
+diffx,590,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3339,620.1033325195312,43.735275697708126,69.4357238292694
+diffx,592,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1502,1558.2672119140625,43.724566686153416,69.4250148177147
+diffx,602,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2689,626.609375,43.097751712799074,68.79819984436035
+diffx,606,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3355,831.447509765625,43.045809316635136,68.74625744819642
+diffx,607,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3334,844.6799926757812,42.7195998430252,68.42004797458648
+diffx,611,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3329,801.2923583984375,42.575535202026366,68.27598333358765
+diffx,613,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2561,1482.2161865234375,42.553365349769585,68.25381348133087
+diffx,620,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3382,680.2026977539062,42.33662004470825,68.03706817626953
+diffx,628,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2590,1319.0552978515625,42.02613623142242,67.7265843629837
+diffx,630,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3328,1123.571044921875,41.95879969596863,67.65924782752991
+diffx,642,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2589,1825.253662109375,41.66479773521423,67.36524586677551
+diffx,643,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3337,694.731689453125,41.6631983757019,67.36364650726318
+diffx,653,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3332,893.3121337890625,41.44506092071533,67.14550905227661
+diffx,654,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2593,1200.127197265625,41.38985337018966,67.09030150175094
+diffx,661,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2614,1155.0599365234375,41.35196294784546,67.05241107940674
+diffx,664,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2577,1083.67626953125,41.25111045837402,66.9515585899353
+diffx,666,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3354,771.6337890625,41.171370363235475,66.87181849479676
+diffx,668,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1490,1204.8577880859375,41.086181771755214,66.7866299033165
+diffx,669,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3389,917.050537109375,41.08572325706482,66.7861713886261
+diffx,672,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3945,608.5805053710938,41.03026874065399,66.73071687221527
+diffx,678,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1519,1147.95703125,40.92552971839904,66.62597784996032
+diffx,679,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1531,1156.522216796875,40.911888849735256,66.61233698129654
+diffx,693,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2618,1244.25927734375,40.4535162448883,66.15396437644958
+diffx,706,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3387,762.1375122070312,40.03276259899139,65.73321073055267
+diffx,710,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1533,1194.74853515625,39.9832671880722,65.68371531963348
+diffx,711,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2615,1042.705078125,39.960843276977535,65.66129140853882
+diffx,712,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2560,1822.83154296875,39.909230256080626,65.6096783876419
+diffx,717,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2587,1491.83740234375,39.734335315227504,65.43478344678878
+diffx,721,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2619,1300.1414794921875,39.71261458396912,65.4130627155304
+diffx,728,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1513,1329.877685546875,39.41939311027527,65.11984124183655
+diffx,741,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3353,899.6972045898438,38.958296179771416,64.6587443113327
+diffx,745,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2594,844.2905883789062,38.88136057853699,64.58180871009827
+diffx,749,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,1489,922.0704956054688,38.7077744603157,64.40822259187698
+diffx,770,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2566,1482.235107421875,38.15106191635132,63.8515100479126
+diffx,791,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2621,1517.3660888671875,37.48485882282257,63.18530695438385
+diffx,813,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3941,1821.16162109375,36.731652879714964,62.432101011276245
+diffx,820,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2717,736.728759765625,36.49888240098953,62.19933053255081
+diffx,825,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3345,628.44677734375,36.21605925858021,61.91650739014149
+diffx,833,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3379,737.0341796875,35.84264409542084,61.54309222698212
+diffx,841,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2567,1342.49609375,35.47218695878983,61.17263509035111
+diffx,852,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2600,1323.0634765625,35.13142200708389,60.83187013864517
+diffx,857,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2575,774.5570068359375,34.91904647350311,60.61949460506439
+diffx,858,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2579,778.462158203125,34.879022884368894,60.579471015930174
+diffx,861,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2611,1281.7652587890625,34.80466175079346,60.50510988235474
+diffx,875,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2749,621.9788208007812,34.18687806129456,59.88732619285584
+diffx,876,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2609,1162.572998046875,34.13711483478546,59.83756296634674
+diffx,890,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2572,1298.058349609375,33.411784172058105,59.112232303619386
+diffx,895,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,3340,752.000732421875,33.2612065076828,58.96165463924408
+diffx,915,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2601,1904.1612548828125,31.974094045162197,57.67454217672348
+diffx,931,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2562,986.2299194335938,30.957350277900694,56.657798409461975
+diffx,943,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2622,850.2880249023438,30.446759462356567,56.14720759391785
+diffx,965,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2596,644.08740234375,29.642736262083055,55.343184393644336
+diffx,967,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2617,2636.96923828125,29.584174585342403,55.284622716903684
+diffx,972,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2574,1195.19287109375,29.40406334400177,55.10451147556305
+diffx,973,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2580,1143.1673583984375,29.3622168302536,55.06266496181488
+diffx,979,vision,vision_model.vision._en.stem.2.reparam_conv.weight,1,14,2588,1275.660400390625,29.16261342763901,54.86306155920029
+diffx,194,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,429840,731.6558227539062,512.831949710846,538.5323978424072
+diffx,195,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,429969,654.0497436523438,480.3991431236267,506.099591255188
+diffx,196,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,19728,1773.4600830078125,443.5379111289978,469.2383592605591
+diffx,197,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,19771,1685.94482421875,390.0383898735046,415.73883800506593
+diffx,198,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,429883,696.3175659179688,383.5592747688293,409.2597229003906
+diffx,199,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,353552,825.6707153320312,382.86342172622676,408.56386985778806
+diffx,200,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,19857,1587.8162841796875,368.26461038589474,393.96505851745604
+diffx,201,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,353595,787.8265380859375,357.6956572532654,383.3961053848267
+diffx,202,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,165136,1469.8173828125,357.0100266456604,382.7104747772217
+diffx,203,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,433936,730.4906005859375,344.72387475967406,370.42432289123536
+diffx,204,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,61243,4756.59912109375,335.4859791755676,361.1864273071289
+diffx,205,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,61200,4999.22412109375,284.00642957687376,309.70687770843506
+diffx,206,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,172347,2623.087890625,268.58301439285276,294.28346252441406
+diffx,207,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,57616,1091.36962890625,266.3428561210632,292.0433042526245
+diffx,208,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,433979,694.0387573242188,261.95083446502684,287.65128259658815
+diffx,209,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,172304,2757.0234375,261.5368342399597,287.237282371521
+diffx,210,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,235792,2304.90576171875,255.06612043380736,280.76656856536863
+diffx,211,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,61329,4473.201171875,244.17818174362182,269.8786298751831
+diffx,212,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,54032,3454.98974609375,228.56492261886598,254.26537075042725
+diffx,213,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,181520,2644.898193359375,225.11191129684448,250.81235942840576
+diffx,214,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,353681,738.7210693359375,216.57218542099,242.27263355255127
+diffx,215,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,62779,617.970458984375,212.0131296157837,237.71357774734497
+diffx,216,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,54075,3288.0869140625,210.6323070526123,236.33275518417358
+diffx,217,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,231184,1039.984375,202.10890579223633,227.8093539237976
+diffx,218,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,166672,1463.6151123046875,198.1674729347229,223.86792106628417
+diffx,219,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,301371,796.3656005859375,192.8364912033081,218.53693933486937
+diffx,220,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,172433,2468.098388671875,192.57537460327148,218.27582273483276
+diffx,221,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,165265,1316.0631103515625,192.50431299209595,218.20476112365722
+diffx,222,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,235921,2063.585693359375,189.78812074661255,215.48856887817382
+diffx,223,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,166715,1393.2327880859375,188.3957308769226,214.0961790084839
+diffx,224,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,54161,3090.828857421875,182.41962833404543,208.1200764656067
+diffx,225,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,69521,760.8370971679688,182.10035285949706,207.80080099105834
+diffx,226,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,165179,1403.2152099609375,181.28013343811037,206.98058156967164
+diffx,227,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,86288,921.49853515625,178.56056432724,204.26101245880128
+diffx,228,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,301457,749.7999877929688,178.2857186317444,203.98616676330568
+diffx,229,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,200976,3349.18798828125,171.37051582336426,197.07096395492553
+diffx,230,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,166801,1310.0413818359375,166.96860446929932,192.6690526008606
+diffx,231,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,390928,1174.213623046875,165.75588579177858,191.45633392333986
+diffx,232,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,231313,931.3802490234375,163.02096700668335,188.72141513824462
+diffx,233,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,62736,649.3871459960938,162.98901834487916,188.68946647644043
+diffx,234,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,181563,2515.7060546875,161.05572862625124,186.7561767578125
+diffx,235,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,83216,3585.64404296875,151.68315505981445,177.38360319137573
+diffx,236,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,233744,1261.00732421875,147.8943588256836,173.59480695724488
+diffx,237,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,47419,2133.256591796875,145.01350746154785,170.71395559310912
+diffx,238,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,19776,868.1527709960938,144.6666889667511,170.36713709831238
+diffx,239,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,301883,735.0263061523438,142.04284687042238,167.74329500198365
+diffx,240,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,58769,1125.18994140625,139.64513759613038,165.34558572769166
+diffx,241,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,83345,3210.97900390625,135.66309604644775,161.36354417800902
+diffx,242,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,287504,714.5944213867188,133.74495687484742,159.4454050064087
+diffx,243,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,365371,1774.69140625,133.09901628494262,158.7994644165039
+diffx,244,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,201019,3187.259033203125,128.5050585269928,154.20550665855407
+diffx,245,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,365328,1864.48779296875,128.41456966400148,154.11501779556275
+diffx,246,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,298811,969.8082275390625,128.02234988212587,153.72279801368714
+diffx,247,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,434065,653.1324462890625,127.43896417617799,153.13941230773926
+diffx,248,policy,policy_model.temporal_hydra.resblock.block_a.0.weight,2,13,233787,1201.8812255859375,127.09648113250734,152.7969292640686
